URL,article_text,title,author,source,published_date
,,,,,
https://www.bloomberg.com/news/articles/2025-04-16/russia-seeks-to-buy-boeing-jets-with-frozen-assets-after-ukraine-ceasefire,"Russia has asked the US to let it buyBoeing Co.aircraft using money from billions of dollars in frozen state assets once there’s a ceasefire in Ukraine, according to a person in Moscow familiar with the matter.

While the request isn’t a condition of agreeing to a truce, Russia understands that frozen funds can’t be used to buy the jets without a ceasefire being in place, the person said, asking not to be identified discussing internal matters. A deal allowing the purchase of jets could form part of an easing of sanctions in the event there’s a halt to the fighting. 
",Russia Seeks to Buy Boeing Jets with Frozen Assets After Ukraine Ceasefire,,Bloomberg,04/16/2025
https://www.bbc.com/news/articles/cvg7pqzk47zo,"## Supreme Court backs 'biological' definition of woman

Judges at the UK Supreme Court have unanimously ruled that a woman is defined by biological sex under equalities law.

It marks the culmination of a long-running legal battle which could have major implications for how sex-based rights apply across Scotland, England and Wales.

The court sided with campaign group For Women Scotland, which brought a case against the Scottish government arguing that sex-based protections should only apply to people that are born female.

Judge Lord Hodge said the ruling should not be seen as a triumph of one side over the other, and stressed that the law still gives protection against discrimination to transgender people.

Lord Hodge said the central question was how the words ""woman"" and ""sex"" are defined in the legislation.

He told the court: ""The unanimous decision of this court is that the terms woman and sex in the Equality Act 2010 refer to a biological woman and biological sex.

""But we counsel against reading this judgement as a triumph of one or more groups in our society at the expense of another, it is not.""

He added that the legislation gives transgender people ""protection, not only against discrimination through the protected characteristic of gender reassignment, but also against direct discrimination, indirect discrimination and harassment in substance in their acquired gender"".

Campaigners who brought the case against the Scottish government hugged each other and punched the air as they left the courtroom, with several of them in tears.

The Scottish government argued in court that transgender people with a gender recognition certificate (GRC) are entitled to the same sex-based protections as biological women.

The Supreme Court was asked to decide on the proper interpretation of the 2010 Equality Act, which applies across Britain.

For Women Scotland argued for a ""common sense"" interpretation of the words man and woman, telling the court that sex is an ""immutable biological state"".

Speaking outside the Supreme Court following the ruling, For Women Scotland co-founder Susan Smith said: ""Today the judges have said what we always believed to be the case, that women are protected by their biological sex.

""Sex is real and women can now feel safe that services and spaces designated for women are for women and we are enormously grateful to the Supreme Court for this ruling.""

First Minister John Swinney said the Scottish government accepted the judgement.

Heposted on social media: ""The ruling gives clarity between two relevant pieces of legislation passed at Westminster.

""We will now engage on the implications of the ruling.""

Swinney added: ""Protecting the rights of all will underpin our actions.""

A Scottish government spokesperson insisted ministers had acted ""in good faith"" during the legal proceedings, and noted that the Equality and Human Rights Commission was updating its guidance in response to the judgement.

A UK government spokesman said the ruling would bring ""clarity and confidence for women and service providers such as hospitals, refuges, and sports clubs"".

""Single-sex spaces are protected in law and will always be protected by this government,"" the spokesman added.

Conservative leader Kemi Badenochdescribed the rulingas a ""victory for all of the women who faced personal abuse or lost their jobs for stating the obvious"".

She added: ""It's important to be reminded the court strongly and clearly re-affirmed the Equality Act protects all trans people against discrimination, based on gender reassignment, and will continue to do so.""

The case follows years of heated debate over transgender and women's rights, including controversy overtransgender rapist Isla Bryson initially being put in a women's prisonand an ongoing employment tribunal involving a female NHS Fife nurse whoobjected to a transgender doctor using a women's changing room.


The judges ruled that interpreting sex as ""certificated"" rather than ""biological"" would ""cut across the definitions of man and ""woman and thus the protected characteristic of sex in an incoherent way"".

They said a ""certified"" definition of sex would weaken protections for lesbians, citing the example of lesbian-only spaces and associations as it would mean that a trans woman who was attracted to women would be classed as a lesbian.

The ruling found the biological interpretation of sex was also required for single-sex spaces to ""function coherently"".

It cited changing rooms, hostels, medical services and single-sex higher education institutions.

The judges noted ""similar confusion and impracticability"" had arisen in relation to single-sex associations and charities, women's sport, public sector equality and the armed forces.

The judges added: ""The practical problems that arise under a certificated sex approach are clear indicators that this interpretation is not correct.""


Gender reassignment is a protected characteristic in law, making it is illegal to discriminate against someone on the basis that they are transgender.

However, single-sex spaces can exclude people with GRCs ""if it is proportionate to do so"".

Dr Nick McKerrell, senior law lecturer at Glasgow Caledonian University, said the ruling means a transgender women with a GRC who was excluded from a single-sex space would be unable to argue she is being discriminated against as a woman.

He also said the ruling implied that workplaces would need to provide separate spaces for people on the basis of biological sex.

But the law lecturer said arguments over access to single-sex spaces would not be ""settled"" by this court case.

He told the BBC: ""It doesn't mean everything overnight is going to change in terms of stopping trans people from accessing services. It will depend on what providers think the new definition will mean for them.""

Dr McKerrell said the judgement does not immediately change anything for the rules on transgender participation in women's sport, but that it might prompt a ""reassessment"" of rules.

The legal dispute began in 2018, when the Scottish Parliament passed a bill designed to ensure gender balance on public sector boards.

For Women Scotland complained that ministers had included transgender people as part of the quotas in that law.

The issue has been contested several times in the Scottish courts.

Holyrood ministers won the most recent case in Scotland, with judge Lady Haldane ruling in 2022 that the definition of sex was ""not limited to biological or birth sex"".

The Scottish Parliament passed reforms that year that would have made it easier for someone to change their legally recognised sex.

The move was blocked by the UK government, and has since been dropped by Holyrood ministers.




",Supreme Court backs 'biological' definition of woman,Unknown Author,BBC,01/27/2023 08:31
https://www.jpost.com/breaking-news/article-850289,"Israel shifts Gaza aid to private sector, backtracks on Gaza aid provision, Katz confirms 

Defense Minister Israel Katzon Wednesday confirmed that Israel is close to backtracking on a vow not to allow the provision of more humanitarian aid to Gaza before the Israeli hostages are returned and that aid could be restarted soon, though private companies would be used to circumvent Hamas. 
Katz’s admission follows a flurry of leaks in recent weeks that Israel would need to restore the flow of aid to Gaza soon if no new ceasefire deal is reached, given that it has been cut off for around six weeks.
Israel had initially said it would permanently cut off aid and that there were no international law questions at stake, given the excess food that Hamashad obtained during the 40-day-plus ceasefire from January 19 to early March. The defense minister’s statement acknowledged the reality that without restoring aid soon, Israel could run into new questions of alleged starvation. In contrast, if it restores aid soon, given that many estimates said that Hamas had enough food for at least around three months, the IDF could avoid new claims of attempted starvation by Israel against the Gazan population.

Trucks containing humanitarian aid from Jordan and international communities transfers into the northern Gaza Strip, October 22, 2024 (credit: IDF SPOKESMAN’S UNIT)

However, Katz’s statement left many questions unclear. While he referenced private companies for handing out food to Gaza’s population, which he said would sideline Hamas as the party distributing food aid, he did not provide names or details. 
This is not the first time that Israel has tried to cut Hamas out of the food aid distribution chain. 
As early as January 2024, then-defense minister Yoav Gallant tried to initiate such a program in northern Gaza for the direct provision of food to Palestinian civilians without Hamas’s intervention, but the program was never workable and faced pushback within the government from hard-right ministers Betzalel Smotrich and Itamar Ben-Gvir.
Eventually, Israel tried to use the World Food Program and the World Central Kitchen to replace UNRWA for handing out aid, but each organization, at one point or another, withdrew due to being mistakenly struck by IDF forces. 
Even when the organizations returned, they either distributed the food directly to Hamas, or the terror group seized it from whoever it was given to. It is unclear how private contractors would have large enough and powerful enough armed forces to distribute food aid to over two million Palestinians throughout Gaza on a daily basis and would be able to stay in the field long enough to ensure that Hamas did not take it at some point.
Seemingly to try to dilute the admission and preempt attacks from Smotrich and Ben-Gvir, Katz buried the food aid admission in a longer statement about crushing Hamas, regaining all of the hostages, and threatening a wider war. Likewise, Katz claimed that Egypt is pressuring Hamas to give up its weapons, though the terror group has made it clear that such a condition is a non-starter. According to Israeli intelligence, Hamas has also rebuilt and is back up to 20,000-25,000 fighters.
IDF sources said there is still no concrete plan to engage new private contractors to distribute food aid to Gaza. Ben-Gvir responded to Katz’s statement in a post on X/Twitter, noting, “It’s a shame that we don’t learn from mistakes.”
“As long as our hostages are languishing in the tunnels, there is no reason for a single grain of food or any aid to enter Gaza. Halting the aid is one of the central pressure points on Hamas, and returning it before Hamas is on its knees and has released all our hostages would be a historic mistake.
“I will do everything in my power to ensure that this historic mistake does not happen, and I call on the prime minister and the defense minister not to take this foolish step, which would harm our ability to defeat Hamas and safely bring all our hostages home,” Ben-Gvir wrote.

Following Ben-Gvir’s latest criticism of Katz for acknowledging that food aid to Gaza may resume in the future, the defense minister released a bizarre statement in which he said repeatedly that food aid would not be restored at this time, but contrastingly that it would be restored in the future.






 


The article is heavily editorialized, riddled with grammatical errors, and  seems to mostly quote  political figures rather than providing a factual news piece. This text feels like a draft and is filled in with filler text and confusion. 



The IDF does need some work



","Israel shifts Gaza aid to private sector, backtracks on Gaza aid provision, Katz confirms",,The Jerusalem Post,03/13/2024
https://apnews.com/article/israel-palestinians-hamas-war-news-ceasefire-hostages-04-16-2025-884713e2096d5353e3008ec7d9cc01ab,"Israel’s defense minister said on Wednesday that troops will remain in so-called security zones in the Gaza Strip, Lebanon and Syria indefinitely, remarks that could further complicate talks with Hamas over a ceasefire and hostage release. Israel says it must maintain control of what it refers to as security zones to prevent a repeat of Hamas’ Oct. 7, 2023, attack. The Palestinians and both neighboring countries view the presence of Israeli troops as military occupation in violation of international law.

Meanwhile, Israeli strikes across Gaza killed another 22 people, according to local health officials, including a girl who was not yet a year old. The girl’s mother, who was wounded, embraced her daughter, still wearing a bloodied blue dress, before she was taken for burial.

Israeli forces have taken over more than half of Gaza in a renewed campaign to pressure Hamas militants to release hostages after Israel ended their ceasefire last month. Israel has also refused to withdraw from some areas in Lebanon following a ceasefire with the Hezbollah militant group last year, and it seized a buffer zone in southern Syria after rebels overthrew Syrian President Bashar Assad in December.

“Unlike in the past, the (Israeli military) is not evacuating areas that have been cleared and seized,” Defense Minister Israel Katz said in a statement. The military “will remain in the security zones as a buffer between the enemy and (Israeli) communities in any temporary or permanent situation in Gaza — as in Lebanon and Syria.”

The Palestinians and both neighboring countries view the presence of Israeli troops as military occupation in violation of international law.

AP correspondent Charles de Ledesma reports displaced Palestinians have been told to leave shelters in the West Bank; many have nowhere to go.

Lebanese president Joseph Aoun said that Israel’s continued presence in some areas in Lebanon was “hindering” the Lebanese army’s full deployment as required by the ceasefire negotiated with Israel.

Two Israeli drone strikes on Wednesday in southern Lebanon killed two people, the health ministry said. The U.N. said Israeli strikes in Lebanon have killed more than 70 civilians since the ceasefire took effect in November.

Hamas has said it will not release dozens of remaining hostages without a complete Israeli withdrawal from Gaza and a lasting ceasefire.

“They promised that the hostages come first. In practice, Israel is choosing to seize territory before the hostages,” the main organization representing families of the hostages said in a statement. “There is one solution that is desirable and feasible, and that is the release of all the hostages at once as part of an agreement, even at the cost of ending the war.”

Israel says it must maintain control of what it refers to as security zones to prevent a repeat of Hamas’ Oct. 7, 2023, attack in which thousands of militants stormed into southern Israel from Gaza, killing some 1,200 people, mostly civilians, and abducting 251.

Israel’s offensive has killed over 51,000 Palestinians, according to Gaza’s Health Ministry, which does not say how many were civilians or combatants but says women and children make up more than half of the dead. Israel says it has killed some 20,000 militants, without providing evidence. 

## ‘Every day, children’

Ahlam Seiam’s family had planned to celebrate her first birthday later this month. Then the Israeli strike hit the building where they had pitched a tent on the roof.

Her grandfather, Nashat, said the family was awakened by a blast overnight. When he raced to the roof, he found his son, Mohammed, sobbing.

“I found her like this,” he said as he held the girl’s body.

Associated Press footage showed the mother, wrapped in bandages, cradling her daughter one last time in the hospital bed.

Israel says it only targets militants and blames Hamas for civilian deaths because its fighters operate in residential areas. The grandfather said there were no militants in the area of the strike. There was no immediate comment from the Israeli military.

The family had fled to Khan Younis from the southern city of Rafah after Israel renewed its offensive last month. “Wherever you go, death will catch up with you. There is no escape,” the grandfather said.

Nermin Zughrub, Ahlam’s aunt, scrolled through photos of the girl on her phone.

“If the world doesn’t wake up today, when will it?” she said. “Every day, massacres. Every day, children.”

## Much of Gaza is uninhabitable

Israel’s bombardment and ground operations have left vast areas of the territory uninhabitable and have displaced around 90% of the population of roughly 2 million Palestinians. Many have been displaced multiple times.

Hundreds of thousands are crammed into squalid tent camps with dwindling food as an aid blockade in Gaza imposed by Israel entered its seventh week. The U.N. humanitarian office, or OCHA, said Wednesday that humanitarian workers on the ground are reporting a rise in acute malnutrition across the Gaza Strip.

Water has become increasingly scarce, with Palestinians desperately lining up in front of water trucks clutching containers and jerrycans. Omar Shatat, deputy director of Gaza’s Coastal Water Utility, told The Associated Press that each person gets six to seven liters of potable water each day, calling it a “water catastrophe.”

”Water, it’s the simplest thing,” said Nevin Al-Dahloul, a displaced woman from Beit Lahiya. “We’re not asking for luxury, it’s our most basic right.”

Israeli Prime Minister Benjamin Netanyahu has vowed to annihilate Hamas and return the 59 hostages still in Gaza — 24 of whom are believed to still be alive.

On Wednesday, the Palestinian Islamic Jihad militant group released a video of hostage Rom Braslavski. It was the first sign of life of him, though recently released hostages had said they had seen him in captivity. In the video, which was filmed under duress, Braslavski says he was held in terrible conditions and pleads with Netanyahu to stop the war and allow humanitarian aid into Gaza.

Netanyahu also has said that Israel will implement U.S. President Donald Trump’s proposal for the resettlement of much of Gaza’s population in other countries through what Netanyahu refers to as “voluntary emigration.”


Palestinians and Arab countries have universally rejected Trump’s proposal, which human rights experts say would likely violate international law. Palestinians in Gaza say they don’t want to leave, and fear another mass expulsion like the one that occurred during the war surrounding Israel’s creation in 1948.

The Trump administration, which took credit for helping to broker the ceasefire, has expressed full support for Israel’s decision to end the truce and to cut off aid. Trump’s Mideast envoy, Steve Witkoff, has been trying to broker a new ceasefire, more favorable to Israel, but those efforts appear to have made little progress.

Netanyahu leads the most nationalist and religious government in Israel’s history, and his coalition partners have called for the reestablishment of Jewish settlements in Gaza.








","Katz says Israeli troops will remain in Gaza, Lebanon and Syria indefinitely | AP News",AP,AP News,04/16/2025 00:00
https://www.reuters.com/world/americas/us-fuel-exports-mexico-by-land-halted-by-higher-scrutiny-sources-say-2025-04-16/,,,,,
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T083213Z.doc-42h23we&type=news,"Okay, I'm ready! Please paste the article text here and I'll do my best to isolate the main article body for you. 

I'll look for the longest continuous piece of text that appears to be about a single topic and remove any surrounding extraneous content.  

Let me know if you have any specific instructions or context about the article that might help me identify the main body more accurately.  

",AFP News,,AFP News,04/16/2025 08:32
,,,,,
https://www.reuters.com/world/india/india-offers-cheap-loans-arms-targeting-russias-traditional-customers-2025-04-16/,,,,,
https://news.afp.com/#/c/main/actu/articles?id=newsml.afp.com.20250416T045330Z.doc-42gl364&type=news,"Okay, I'm ready! 

Please paste the article text here, and I'll identify the main body and return it to you. I'll do my best to correctly identify the longest and most relevant section. 

Keep in mind:

* I'll rely on text context to determine the main article. 
* If there are multiple equally long sections on different topics, I might need more information from you to choose the intended main article. 


Let's get started!  

",,,AFP News,04/16/2025 04:53:30
